Month,ROC,State
Aug 2020,2561.4193548387098,GA
Sept 2020,1498.0333333333333,GA
Oct 2020,2245.8387096774195,GA
Nov 2020,2687.6,GA
Dec 2020,5970.322580645161,GA
Jan 2020,0.0,NH
Feb 2020,0.0,NH
Mar 2020,12.2,NH
Apr 2020,57.7,NH
May 2020,75.51612903225806,NH
Jun 2020,36.56666666666667,NH
Jul 2020,25.193548387096776,NH
Aug 2020,21.35483870967742,NH
Sept 2020,32.3,NH
Oct 2020,89.25806451612904,NH
Nov 2020,326.0,NH
Dec 2020,718.1290322580645,NH
Jan 2020,0.0,NC
Feb 2020,0.0,NC
Mar 2020,52.62068965517241,NC
Apr 2020,297.2,NC
May 2020,573.0322580645161,NC
Jun 2020,1189.8666666666666,NC
Jul 2020,1792.0967741935483,NC
Aug 2020,1418.516129032258,NC
Sept 2020,1367.9333333333334,NC
Oct 2020,1986.6774193548388,NC
Nov 2020,2942.0666666666666,NC
Dec 2020,5563.064516129032,NC
Jan 2020,0.0,NJ
Feb 2020,0.0,NJ
Mar 2020,667.6785714285714,NJ
Apr 2020,3213.233333333333,NJ
May 2020,1266.2903225806451,NJ
Jun 2020,420.1,NJ
Jul 2020,314.61290322580646,NJ
Aug 2020,317.2903225806452,NJ
Sept 2020,433.06666666666666,NJ
Oct 2020,1032.3548387096773,NJ
Nov 2020,3257.0333333333333,NJ
Dec 2020,4375.548387096775,NJ
Jan 2020,0.0,CO
Feb 2020,0.0,CO
Mar 2020,110.66666666666667,CO
Apr 2020,395.3666666666667,CO
May 2020,345.258064516129,CO
Jun 2020,204.5,CO
Jul 2020,449.5483870967742,CO
Aug 2020,336.7741935483871,CO
Sept 2020,432.4,CO
Oct 2020,1165.1935483870968,CO
Nov 2020,4128.733333333334,CO
Dec 2020,3122.5806451612902,CO
Jan 2020,0.0,MD
Feb 2020,0.0,MD
Mar 2020,61.44444444444444,MD
Apr 2020,661.3333333333334,MD
May 2020,964.1935483870968,MD
Jun 2020,470.56666666666666,MD
Jul 2020,658.2258064516129,MD
Aug 2020,607.0,MD
Sept 2020,528.8,MD
Oct 2020,632.1290322580645,MD
Nov 2020,1736.1,MD
Dec 2020,2430.8064516129034,MD
Jan 2020,0.0,NV
Feb 2020,0.0,NV
Mar 2020,41.148148148148145,NV
Apr 2020,125.8,NV
May 2020,109.0,NV
Jun 2020,329.3666666666667,NV
Jul 2020,935.1935483870968,NV
Aug 2020,648.741935483871,NV
Sept 2020,345.8666666666667,NV
Oct 2020,656.0322580645161,NV
Nov 2020,1704.4,NV
Dec 2020,2253.7419354838707,NV
Jan 2020,0.0,TN
Feb 2020,0.0,TN
Mar 2020,75.85185185185185,TN
Apr 2020,260.56666666666666,TN
